i_deg;j_deg;theta_y;theta_z;mean_theta_y;mean_theta_z
-90;-40;-44.384964;-5.393707;-44.320072;-5.348482
-90;-39;-43.705677;-5.4242225;-43.713757;-5.432999
-90;-38;-41.971226;-5.384047;-42.024353;-5.3919673
-90;-37;-40.93178;-5.3687634;-41.107544;-5.484021
-90;-36;-40.364758;-5.5617137;-40.430225;-5.5507693
-90;-35;-39.30221;-5.2337246;-39.62957;-5.258966
-90;-34;-38.056324;-5.1788335;-38.093735;-5.20149
-90;-33;-36.365883;-5.515332;-36.493217;-5.4300156
-90;-32;-35.952274;-5.8321342;-35.942562;-5.8055696
-90;-31;-35.239388;-5.825539;-34.76582;-5.4342384
-90;-30;-33.738403;-5.827466;-33.6698;-5.5097694
-90;-29;-33.194214;-5.5011907;-33.06383;-5.460946
-90;-28;-32.18196;-5.3936176;-32.147224;-5.3990107
-90;-27;-31.429134;-5.7146635;-30.670813;-5.3710394
-90;-26;-30.29238;-5.594531;-30.253645;-5.587265
-90;-25;-29.1787;-5.4774394;-29.167643;-5.4811826
-90;-24;-27.779037;-5.4197984;-27.803366;-5.4096284
-90;-23;-27.199356;-5.4089127;-27.143814;-5.3907895
-90;-22;-26.190384;-5.3456745;-26.196644;-5.3305216
-90;-21;-24.482029;-5.3280926;-24.537653;-5.3389864
-90;-20;-24.10922;-5.34303;-24.090235;-5.338972
-90;-19;-23.099424;-5.302386;-23.141857;-5.3171782
-90;-18;-21.654015;-5.1992555;-21.604116;-5.2177134
-90;-17;-21.133585;-5.1924973;-21.140966;-5.213524
-90;-16;-19.2248;-5.4601154;-19.215435;-5.45728
-90;-15;-18.15852;-5.4447126;-18.256115;-5.4517627
-90;-14;-17.42498;-5.3512626;-17.456783;-5.377174
-90;-13;-16.664068;-5.707375;-16.60343;-5.4586806
-90;-12;-15.6983595;-5.754012;-15.670402;-5.6534724
-90;-11;-15.087766;-5.735473;-15.083704;-5.7307696
-90;-10;-14.026697;-5.679625;-14.08695;-5.705059
-90;-9;-13.551045;-5.6748657;-13.566532;-5.668016
-90;-8;-11.940348;-5.5824275;-11.906587;-5.5721297
-90;-7;-11.367131;-5.576062;-11.338515;-5.5519586
-90;-6;-9.216727;-5.410772;-9.240606;-5.4224787
-90;-5;-9.01257;-5.4352922;-9.060594;-5.440338
-90;-4;-7.461234;-5.355438;-7.4441347;-5.3470855
-90;-3;-6.3199205;-5.2943425;-6.362314;-5.326006
-90;-2;-6.4732213;-5.402559;-6.515468;-5.3966193
-90;-1;-5.0409536;-5.7586575;-4.9177237;-5.7349105
-90;0;-2.8790324;-5.2183485;-2.8944995;-5.215784
