i_deg;j_deg;theta_y;theta_z;mean_theta_y;mean_theta_z
-90;-40;44.440068088420716;4.593576984906557;44.31245534412462;4.570829203394721
-90;-39;43.3312656124058;4.3862589709483215;43.639419505738225;4.521932059292079
-90;-38;42.76255597932624;4.320439968254199;42.62371170549755;4.227089002684503
-90;-37;41.41199696330034;4.769042425583868;41.83610981169618;4.208151084745502
-90;-36;40.78592734727635;4.212231012759245;40.74548319763993;4.363372001423445
-90;-35;39.45720142759341;4.373000733563741;39.517111710212845;4.37417275098089
-90;-34;38.57383039780874;4.764678758917293;38.42641185410552;4.580460788653029
-90;-33;37.51490303974095;4.453972237615262;37.529411688160046;4.570624067912586
-90;-32;36.78929226712819;4.2863343232639055;36.657312217409036;4.447829316998563
-90;-31;35.838614978608604;4.234950524875041;35.473327971140336;4.339639516691618
-90;-30;34.64325915272787;4.2417502296344;34.736692298826064;4.309275636772289
-90;-29;33.3188857383488;4.780038696530578;33.78328407358285;4.277815372655128
-90;-28;33.02004468090631;4.363056424564193;32.71571416475137;4.28210869429746
-90;-27;31.494952235461653;4.465049699998006;31.707207681387906;4.362394449788902
-90;-26;30.022891577579955;5.511840325340246;30.104434905850972;5.591776701868811
-90;-25;29.313826372787997;5.231466129523091;29.327479238895126;5.2831955459935145
-90;-24;28.08033029613518;5.285249840696534;28.03951152400053;5.2118449133542795
-90;-23;26.764971650710105;5.214501540639535;27.134175238043138;5.249957599143183
-90;-22;25.823163529072914;5.16957403226852;25.84568706404984;5.2536336460522355
-90;-21;25.22204446721185;5.0389670729934615;25.150426892078457;5.0495761725905055
-90;-20;24.090289006406;5.142728203059039;23.77740611163731;5.238773193652632
-90;-19;23.208957696024004;4.9843631514887905;23.245733252351265;5.066773329837426
-90;-18;21.528476270068296;5.202726894534146;21.547016829158302;5.180955622013559
-90;-17;21.197250266232537;5.045731744302648;21.223098543647083;5.092161092865661
-90;-16;19.833605501695647;5.074498638573774;19.98051093526727;5.215052218689892
-90;-15;18.365208620700955;5.3079300590661616;18.52328660062836;5.321423612171757
-90;-14;18.46659207034219;5.3330496881187495;18.373675345486586;5.340095421336583
-90;-13;16.06926986018259;5.250870248084082;16.330331450603563;5.233980354135523
-90;-12;15.698719037427004;5.359977866062269;15.460519277402813;5.290907472267348
-90;-11;14.817795565818912;5.380158588177893;14.784553103388927;5.3761785419901775
-90;-10;13.808002582430788;5.410584399861147;14.140210299570873;5.386768926120685
-90;-9;14.200396280409919;5.395376045973907;14.147106025392056;5.382576488107982
-90;-8;13.430490435489032;5.294050946891956;13.16048839474363;5.467429621383073
-90;-7;10.228819751774754;5.323966899909779;10.542573680651737;5.346669150646496
-90;-6;9.828066378526339;5.376859141883785;9.87885705069101;5.414781167288452
-90;-5;8.898713987248534;5.521249796258629;8.980143810053733;5.419919282739179
-90;-4;8.72333644057592;5.523591188210446;8.350703354824287;5.473345628994803
-90;-3;7.254547530938469;5.448523430914922;6.9773091909202964;5.415771125177273
-90;-2;6.66669660277458;5.483977316686371;6.759237621024951;5.505922690237716
-90;-1;5.121662487593912;5.516854401627486;5.029011053898885;5.510426332277448
-90;0;3.537232595614991;5.393754663158351;3.8463710605969137;5.4185421404677765
-90;1;2.8727384895907613;5.358735065091441;2.6048435310844504;5.325018793851538
-90;2;2.664706394982529;5.365859262372856;2.540900911626301;5.3552437277992055
-90;3;1.5701056549141865;5.408023800680571;1.6312053470182217;5.406891540646881
-90;4;-0.5498324004196596;5.383501280145146;-0.1968877406316088;5.385107799331738
-90;5;-1.7112388815299546;5.363738906313573;-1.558912464949276;5.327704733630583
-90;6;-1.659233608062571;5.371762499190834;-1.5691452799110304;5.365648012499466
-90;7;-2.1145967325045523;5.445763124918235;-1.92462239274068;5.421681069656501
-90;8;-2.2289851033798675;5.554677474528493;-2.6611485140944646;5.561846552001043
-90;9;-3.8703745514500913;5.5495292418765905;-3.5229394689303364;5.553945932178817
-90;10;-4.730962735407569;5.557409474130652;-4.722289357541587;5.5363263701946215
-90;11;-5.421750317992935;5.582368076600984;-5.302875720402074;5.549798628806301
-90;12;-5.341130845128603;5.590412596535185;-5.169442410408081;5.554159519393465
-90;13;-5.41535049354744;5.5486586809121095;-5.387472056619773;5.578622947601867
-90;14;-6.690310712753504;5.542509782023714;-6.546799614765063;5.547468900458445
-90;15;-8.28578371851606;5.535706775625553;-8.03326343895311;5.46739491004227
-90;16;-8.05704285613999;5.624801906937454;-7.973012156225669;5.536956842933136
-90;17;-8.973638132143227;5.502235594652491;-9.071065372111388;5.540002220777574
-90;18;-10.799326633932505;5.454591756887988;-10.893980558635912;5.413453317011709
-90;19;-12.374458365597283;5.402488445933377;-12.34470147304606;5.46965116357792
-90;20;-12.597018609015075;5.5870048478741445;-12.511107784430438;5.530378050018442
-90;21;-14.192765327798053;5.362149591153555;-14.118446896276732;5.433493432926047
-90;22;-15.731057592404474;5.38796838981219;-15.780146274979348;5.4073075554275185
-90;23;-16.38193196199387;5.372055196023482;-16.37697958446554;5.506932428558701
-90;24;-17.66821617506194;5.442583440828574;-17.501073528605556;5.3689066244282815
-90;25;-18.953737688307122;5.397753040527313;-19.008818492166462;5.452428690045404
-90;26;-19.91833226252781;5.404732515162256;-20.171463484009113;5.47655491779368
-90;27;-21.927534388882496;5.308366639445985;-21.89776890441505;5.354269173997821
-90;28;-21.978933696350893;5.477473709716892;-22.089144469694045;5.393917380577939
-90;29;-22.69228428011863;5.622205467821271;-22.76184624011723;5.573840194756626
-90;30;-24.213029360634806;5.534798966031622;-24.422575025896563;5.438579265777585
-90;31;-25.488380673938593;5.60456246572389;-25.30119942180517;5.530653497154251
-90;32;-26.408539515095157;5.437191130871663;-26.262780242206933;5.5041274563597336
-90;33;-27.194521459141182;5.667503594585944;-27.142391265660077;5.654040554055526
-90;34;-28.643878413175408;5.5688055662342615;-28.641774003236506;5.723751629739951
-90;35;-29.695241961008062;5.819383337801951;-29.503006633374515;5.694546234959822
-90;36;-30.196010428807632;5.512717727771925;-30.061506135780647;5.624688246593345
-90;37;-31.317050714856045;5.3376760242953205;-31.23873763801431;5.634236786786451
-90;38;-32.251739680573785;5.5155103228935936;-32.301395742160764;5.672822042153981
-90;39;-33.23204913350714;5.674514240516759;-33.22000435651499;5.692351403377548
-80;-40;45.13198541932542;-4.508159734196531;45.08739571759921;-4.518071331435949
-80;-39;44.34029130636639;-3.9734086868134;44.13310420437655;-4.3028404083077065
-80;-38;42.75536408608125;-4.556203614085714;42.841404740606905;-4.361091910885637
-80;-37;41.9259104763423;-4.494554056606335;41.863704996853514;-4.5757520111170775
-80;-36;41.131965099651694;-4.505334814755301;41.2489773322645;-4.520890303029373
-80;-35;40.05378121232125;-4.260924542202636;40.17862217314598;-4.2448170411589565
-80;-34;39.3204236610975;-4.1708271598705045;39.20476135976672;-4.225637439869945
-80;-33;38.17467201487944;-4.302680017513239;38.15482241376027;-4.348694491253791
-80;-32;36.83796242369406;-4.314706932316656;36.88803623658745;-4.368742188724831
-80;-31;36.309699449684196;-4.38954266981461;36.29639431869565;-4.482657871955943
-80;-30;34.77730788863178;-4.552948216057988;35.00468550770982;-4.4626586449462495
-80;-29;33.83092975980089;-4.276744045054519;33.91314218346626;-4.5243564036257204
-80;-28;33.146079242575986;-4.245000653305646;33.2948910160747;-4.5514556533154105
-80;-27;32.062421255216734;-4.26456930234142;31.939260319330284;-4.514112550581807
-80;-26;30.930953650216033;-4.734110187928025;30.910710280885077;-4.647886053745689
-80;-25;30.29324906927231;-4.540520475849236;30.309638486951126;-4.5566991408472495
-80;-24;28.797300843738608;-4.690297114210447;28.833251906533512;-4.595464909393763
-80;-23;28.138629743405993;-4.743591484659572;28.13276658819983;-4.6461241269005
-80;-22;27.06334416895165;-4.488836935635214;27.119352659928055;-4.625641076753523
-80;-21;26.353243210635377;-4.722129800646469;26.419749675449413;-4.539307394087772
-80;-20;24.770082208365956;-4.557057707886504;24.969127409683864;-4.526733615281389
-80;-19;23.96466269165994;-4.666093473285157;24.121690931475104;-4.588914880354062
-80;-18;23.447791877128097;-4.605747902948397;23.27655929389926;-4.615394328723222
-80;-17;21.657454324832678;-4.772284698493642;21.793279850621477;-4.580649689207171
-80;-16;21.189926423302545;-4.578267359590637;21.203460562053294;-4.5231113408951185
-80;-15;19.919082598177635;-4.729259545577559;20.007695371862617;-4.601153009605282
-80;-14;18.97662952172549;-4.722850860024971;19.02212431100986;-4.56465064627701
-80;-13;18.089950132360364;-4.552956855269665;18.035514927808727;-4.46860753157024
-80;-12;17.374203460551964;-4.394568059191371;17.311066609147122;-4.353187619593178
-80;-11;16.161094746879552;-4.525812903594581;16.161302291746107;-4.487565702138648
-80;-10;14.063909941788713;-4.51362334315077;14.270497396313646;-4.551963961442999
-80;-9;13.89340515873657;-4.6375630247278234;13.926647321150966;-4.490674119209132
-80;-8;12.820056678004738;-4.520723204186284;12.844511835535958;-4.4997628512673655
-80;-7;10.506521769137876;-4.537240422172796;10.362680277336345;-4.583353921166456
-80;-6;9.925395232315122;-4.532428257264962;9.85575159072143;-4.511909392056439
-80;-5;8.47948732574803;-4.5262957004903015;8.404800410795135;-4.5118421995243105
-80;-4;7.163817279902565;-4.4711983034936065;7.144382628236386;-4.480264954970686
-80;-3;6.846931490056069;-4.407960508349798;6.7745480320255;-4.450590793080262
-80;-2;6.2772621768469286;-4.370017061569035;6.396025648555018;-4.402232702132844
-80;-1;3.9470468324132297;-4.4156145831312825;3.8587010198529654;-4.502613134209007
-80;0;3.0706334133118465;-4.514070920860255;2.997887683658353;-4.519070277160874
-80;1;2.8800767268792353;-4.525064021148978;2.940732590323886;-4.480454336563843
-80;2;2.6417824949060664;-4.486402440608917;2.5842351162544728;-4.510937880892644
-80;3;1.7424373445732857;-4.631389792414841;1.5481506375909793;-4.582781558499452
-80;4;0.09077789666909164;-4.663191291683142;0.03942679682555012;-4.625076908896484
-80;5;-0.1599627441793209;-4.591173590869299;-0.13723987153503303;-4.56465740761153
-80;6;-0.7174812965104436;-4.5262417971755236;-0.5935364694716397;-4.518535815003882
-80;7;-0.9585225227589581;-4.524866551578716;-1.1716880666607317;-4.5230429977143185
-80;8;-1.8344963162483288;-4.555931566832882;-2.1629581445785226;-4.564163750632047
-80;9;-3.6459417679591564;-4.481540752814407;-3.8234959550028593;-4.471701834294914
-80;10;-4.540498234922484;-4.469987127218431;-4.586713365992546;-4.461373007169753
-80;11;-5.221424139749775;-4.365006273630347;-4.997183721294794;-4.369416845178507
